initial,pulse,tau,state,real,imag,probability
"|0,01>",atom_pi_1,0.20125786163522014,"|0,01>",0.950490791789705,1.814838239080923e-05,0.9034327456063841
"|0,01>",atom_pi_1,0.20125786163522014,"|r,01>",-0.0001707445074971344,-0.3103077776445883,0.09629094602041008
"|0,01>",atom_pi_1,0.20125786163522014,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.20125786163522014,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.20754716981132076,"|0,01>",0.9473791362070925,1.988727275324984e-05,0.8975272281160004
"|0,01>",atom_pi_1,0.20754716981132076,"|r,01>",-0.00018133471431766414,-0.3196259156818584,0.10216075885774507
"|0,01>",atom_pi_1,0.20754716981132076,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.20754716981132076,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2138364779874214,"|0,01>",0.9441755950724183,2.1732246081623697e-05,0.8914675548026458
"|0,01>",atom_pi_1,0.2138364779874214,"|r,01>",-0.0001922200310254185,-0.3289093888512944,0.10818142302307232
"|0,01>",atom_pi_1,0.2138364779874214,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2138364779874214,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.22012578616352202,"|0,01>",0.9408805158030107,2.368620431714935e-05,0.8852561455787757
"|0,01>",atom_pi_1,0.22012578616352202,"|r,01>",-0.00020339770900724803,-0.3381571946554908,0.11435032966789953
"|0,01>",atom_pi_1,0.22012578616352202,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.22012578616352202,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.22641509433962265,"|0,01>",0.9374942556991984,2.5752021874915464e-05,0.8788954801321608
"|0,01>",atom_pi_1,0.22641509433962265,"|r,01>",-0.00021486492444414937,-0.3473683348467724,0.12066480622115515
"|0,01>",atom_pi_1,0.22641509433962265,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.22641509433962265,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.23270440251572327,"|0,01>",0.9340171819017408,2.7932544903825095e-05,0.8723880968678966
"|0,01>",atom_pi_1,0.23270440251572327,"|r,01>",-0.0002266187789049591,-0.3565418155456619,0.12712211758866773
"|0,01>",atom_pi_1,0.23270440251572327,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.23270440251572327,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2389937106918239,"|0,01>",0.9304496713480902,3.0230590552483058e-05,0.8657365918256577
"|0,01>",atom_pi_1,0.2389937106918239,"|r,01>",-0.00023865629995581218,-0.36567664735878935,0.1337194673803939
"|0,01>",atom_pi_1,0.2389937106918239,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2389937106918239,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.24528301886792453,"|0,01>",0.9267921107274937,3.264894624118173e-05,0.8589436175726766
"|0,01>",atom_pi_1,0.24528301886792453,"|r,01>",-0.0002509744417852416,-0.37477184549622294,0.14045399916481524
"|0,01>",atom_pi_1,0.24528301886792453,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.24528301886792453,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.25157232704402516,"|0,01>",0.9230448964349366,3.519036894013912e-05,0.8520118820729449
"|0,01>",atom_pi_1,0.25157232704402516,"|r,01>",-0.0002635700858447978,-0.3838264298882118,0.14732279774992052
"|0,01>",atom_pi_1,0.25157232704402516,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.25157232704402516,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2578616352201258,"|0,01>",0.9192084345239369,3.785758445414195e-05,0.8449441475331433
"|0,01>",atom_pi_1,0.2578616352201258,"|r,01>",-0.0002764400415050575,-0.392839425301321,0.15432289049016867
